"Entry","Expt","MacroEnv","DTF","Predicted_DTF"
110,"It16","Macroenvironment 3",113.666666666667,109.575202880992
111,"Su16","Macroenvironment 1",46,45.5883858642981
111,"Ne16","Macroenvironment 2",98.3333333333333,77.5097076875669
111,"It16","Macroenvironment 3",116.333333333333,112.147134589692
112,"Su16","Macroenvironment 1",43.3333333333333,42.3205148873705
112,"Ne16","Macroenvironment 2",83.3333333333333,65.3658448225703
112,"It16","Macroenvironment 3",110,110.242259525753
113,"Su16","Macroenvironment 1",45,43.1995567051837
113,"Ne16","Macroenvironment 2",90.6666666666667,69.5690475526645
113,"It16","Macroenvironment 3",121,113.393137355597
114,"Su16","Macroenvironment 1",45.3333333333333,44.2718717662143
114,"Ne16","Macroenvironment 2",89.6666666666667,70.073588862335
114,"It16","Macroenvironment 3",118.333333333333,115.37464060082
115,"Su16","Macroenvironment 1",47,46.6011873012063
115,"Ne16","Macroenvironment 2",124.666666666667,98.0475110580781
115,"It16","Macroenvironment 3",132,132.741749340273
116,"Su16","Macroenvironment 1",50,47.6454159027821
116,"Ne16","Macroenvironment 2",113.666666666667,80.6333497395131
116,"It16","Macroenvironment 3",131.666666666667,138.531066073929
117,"Su16","Macroenvironment 1",47,46.2540397156384
117,"Ne16","Macroenvironment 2",107,74.0639720022118
117,"It16","Macroenvironment 3",127.666666666667,139.045071239857
118,"Su16","Macroenvironment 1",46.3333333333333,43.6503459359227
118,"Ne16","Macroenvironment 2",112.333333333333,77.1709582631401
118,"It16","Macroenvironment 3",120.666666666667,122.914170281539
119,"Su16","Macroenvironment 1",46.3333333333333,45.5664596759814
119,"Ne16","Macroenvironment 2",124,97.0785865062979
119,"It16","Macroenvironment 3",121,120.381885139469
120,"Su16","Macroenvironment 1",45.6666666666667,44.3008104898582
120,"Ne16","Macroenvironment 2",114.666666666667,84.8237111000617
120,"It16","Macroenvironment 3",120.666666666667,126.987097743131
121,"Su16","Macroenvironment 1",46.3333333333333,44.2697231819677
121,"Ne16","Macroenvironment 2",108.333333333333,79.552802091636
121,"It16","Macroenvironment 3",120.666666666667,119.514035029536
122,"Su16","Macroenvironment 1",45,43.310181346074
122,"Ne16","Macroenvironment 2",100.666666666667,84.487499570242
122,"It16","Macroenvironment 3",115.333333333333,116.111197615637
123,"Su16","Macroenvironment 1",44.6666666666667,43.5285035307108
123,"Ne16","Macroenvironment 2",98.3333333333333,75.5343304807921
123,"It16","Macroenvironment 3",120.666666666667,115.019033299469
124,"Su16","Macroenvironment 1",45.6666666666667,44.5997641515528
124,"Ne16","Macroenvironment 2",93.3333333333333,70.3983572433416
124,"It16","Macroenvironment 3",116.333333333333,111.004338006252
125,"Su16","Macroenvironment 1",49.3333333333333,48.1163131876335
125,"Ne16","Macroenvironment 2",103.333333333333,80.2918453136825
125,"It16","Macroenvironment 3",121,125.715639864398
126,"Su16","Macroenvironment 1",61.3333333333333,59.599891867077
126,"Ne16","Macroenvironment 2",126.333333333333,98.4350035132448
126,"It16","Macroenvironment 3",145,147.349469687681
127,"Su16","Macroenvironment 1",44,43.0945908570783
127,"Ne16","Macroenvironment 2",89.6666666666667,68.6674378452318
127,"It16","Macroenvironment 3",113.666666666667,110.921798966176
128,"Su16","Macroenvironment 1",56,55.1552305742876
128,"Ne16","Macroenvironment 2",104.5,84.5485343932328
128,"It16","Macroenvironment 3",132.666666666667,138.819641110506
129,"Su16","Macroenvironment 1",46.6666666666667,45.3630100712722
129,"Ne16","Macroenvironment 2",79,57.1399035965222
129,"It16","Macroenvironment 3",108,104.362154737358
130,"Su16","Macroenvironment 1",53,50.9763353883458
130,"Ne16","Macroenvironment 2",139,99.3430899597331
130,"It16","Macroenvironment 3",132.666666666667,134.896576189615
131,"Su16","Macroenvironment 1",51.6666666666667,49.9419525872492
131,"Ne16","Macroenvironment 2",120.333333333333,87.3824949130159
131,"It16","Macroenvironment 3",141,148.386069036547
132,"Su16","Macroenvironment 1",48.6666666666667,46.9284217056841
132,"Ne16","Macroenvironment 2",123,93.7212656272184
132,"It16","Macroenvironment 3",134.333333333333,142.911393317669
133,"Su16","Macroenvironment 1",51.6666666666667,49.6679492675998
133,"Ne16","Macroenvironment 2",126,99.2372385392092
133,"It16","Macroenvironment 3",148,138.965075438664
134,"Su16","Macroenvironment 1",53,50.3903889520584
134,"Ne16","Macroenvironment 2",121.333333333333,93.5159851060115
134,"It16","Macroenvironment 3",148,147.297804000134
135,"Su16","Macroenvironment 1",47,46.7277055341817
135,"Ne16","Macroenvironment 2",112.333333333333,86.7137293760932
135,"It16","Macroenvironment 3",133.333333333333,142.037867963011
136,"Su16","Macroenvironment 1",51,49.9928496359639
136,"Ne16","Macroenvironment 2",115.333333333333,92.9653857728976
136,"It16","Macroenvironment 3",136,142.423119675954
137,"Su16","Macroenvironment 1",49.6666666666667,48.3770456805153
137,"Ne16","Macroenvironment 2",136,101.025700897389
137,"It16","Macroenvironment 3",137.333333333333,141.318256813428
138,"Su16","Macroenvironment 1",49.3333333333333,48.1925508975671
138,"Ne16","Macroenvironment 2",123,96.9313406243661
138,"It16","Macroenvironment 3",138.666666666667,143.651596753386
139,"Su16","Macroenvironment 1",50.6666666666667,50.1769966354185
139,"Ne16","Macroenvironment 2",108.666666666667,93.3833955683996
139,"It16","Macroenvironment 3",134.333333333333,141.105273631253
140,"Su16","Macroenvironment 1",50,48.1916795885334
140,"Ne16","Macroenvironment 2",128.666666666667,99.0878403084225
140,"It16","Macroenvironment 3",131.666666666667,128.954426910693
141,"Su16","Macroenvironment 1",48.3333333333333,47.0749825479914
141,"Ne16","Macroenvironment 2",117,89.9822965132811
141,"It16","Macroenvironment 3",132,141.566850580201
142,"Su16","Macroenvironment 1",50,47.5038750470905
142,"Ne16","Macroenvironment 2",130.666666666667,100.701875465488
142,"It16","Macroenvironment 3",134,131.959650476402
143,"Su16","Macroenvironment 1",52.3333333333333,51.7211494948499
143,"Ne16","Macroenvironment 2",121.333333333333,97.4070159805816
143,"It16","Macroenvironment 3",133.666666666667,137.241568831037
144,"Su16","Macroenvironment 1",44,42.9154485639873
144,"Ne16","Macroenvironment 2",100,74.3790992324523
144,"It16","Macroenvironment 3",113.666666666667,111.232567902901
145,"Su16","Macroenvironment 1",44.6666666666667,42.5834001064111
145,"Ne16","Macroenvironment 2",91.3333333333333,69.285754639114
145,"It16","Macroenvironment 3",113.666666666667,109.98128057743
146,"Su16","Macroenvironment 1",49.6666666666667,49.5029677477185
146,"Ne16","Macroenvironment 2",120,93.1934034805316
146,"It16","Macroenvironment 3",137,142.201556069022
147,"Su16","Macroenvironment 1",49.6666666666667,49.0902228539051
147,"Ne16","Macroenvironment 2",123,89.7868843732377
147,"It16","Macroenvironment 3",138,143.499232814578
148,"Su16","Macroenvironment 1",58.3333333333333,57.1727468220274
148,"Ne16","Macroenvironment 2",138,103.533946814166
148,"It16","Macroenvironment 3",145,140.584832421895
149,"Su16","Macroenvironment 1",49.6666666666667,48.4321385469954
149,"Ne16","Macroenvironment 2",118.5,98.4943474946276
149,"It16","Macroenvironment 3",144.666666666667,148.357541952576
150,"Su16","Macroenvironment 1",50.3333333333333,49.5213667829698
150,"Ne16","Macroenvironment 2",123.666666666667,97.0261763257466
150,"It16","Macroenvironment 3",143,144.20458859534
151,"Su16","Macroenvironment 1",51,50.5563314214067
151,"Ne16","Macroenvironment 2",124.5,94.6606927350046
151,"It16","Macroenvironment 3",136.333333333333,141.981648764827
152,"Su16","Macroenvironment 1",45,44.2559115949393
152,"Ne16","Macroenvironment 2",112.333333333333,88.2681948465321
152,"It16","Macroenvironment 3",123,124.262857477613
153,"Su16","Macroenvironment 1",49,49.4494564750088
153,"Ne16","Macroenvironment 2",112.666666666667,79.3149641224914
153,"It16","Macroenvironment 3",133.666666666667,143.238550663813
154,"Su16","Macroenvironment 1",43.3333333333333,41.5857315080809
154,"Ne16","Macroenvironment 2",78,61.4816180099803
154,"It16","Macroenvironment 3",106.333333333333,106.645614508007
